position,temperature,humidity,noice,time,createdAt,updatedAt,__v
Malabe,29.0,46,45.0,2025-04-03 09:30:04.594,2025-04-03 09:30:04.599,2025-04-03 09:30:04.599,0
Malabe,29.0,46,45.0,2025-04-03 09:49:34.118,2025-04-03 09:49:34.118,2025-04-03 09:49:34.118,0
Malabe,29.0,46,45.0,2025-04-03 09:54:19.580,2025-04-03 09:54:19.589,2025-04-03 09:54:19.589,0
Malabe,29.0,46,45.0,2025-04-03 10:00:00.918,2025-04-03 10:00:00.922,2025-04-03 10:00:00.922,0
Malabe,29.0,46,45.0,2025-04-03 10:01:13.793,2025-04-03 10:01:13.794,2025-04-03 10:01:13.794,0
Malabe,31.8,75,51.6,2025-04-03 11:27:38.894,2025-04-03 11:27:38.895,2025-04-03 11:27:38.895,0
Malabe,31.8,75,51.8,2025-04-03 11:28:02.322,2025-04-03 11:28:02.323,2025-04-03 11:28:02.323,0
Malabe,31.8,75,51.7,2025-04-03 11:29:46.547,2025-04-03 11:29:46.548,2025-04-03 11:29:46.548,0
Malabe,31.3,76,51.3,2025-04-03 11:30:41.647,2025-04-03 11:30:41.648,2025-04-03 11:30:41.648,0
Malabe,31.3,75,51.6,2025-04-03 11:32:22.850,2025-04-03 11:32:22.851,2025-04-03 11:32:22.851,0
Malabe,30.2,90,49.8,2025-04-07 05:01:15.374,2025-04-07 05:01:15.375,2025-04-07 05:01:15.375,0
Malabe,30.2,82,49.5,2025-04-07 05:01:43.564,2025-04-07 05:01:43.565,2025-04-07 05:01:43.565,0
Malabe,30.2,82,48.7,2025-04-07 05:03:17.919,2025-04-07 05:03:17.920,2025-04-07 05:03:17.920,0
Malabe,29.8,83,51.7,2025-04-07 05:06:09.358,2025-04-07 05:06:09.359,2025-04-07 05:06:09.359,0
Malabe,29.8,84,51.8,2025-04-07 05:11:14.151,2025-04-07 05:11:14.152,2025-04-07 05:11:14.152,0
Malabe,29.3,87,51.7,2025-04-07 05:16:16.107,2025-04-07 05:16:16.107,2025-04-07 05:16:16.107,0
Malabe,29.3,89,51.7,2025-04-07 05:21:17.507,2025-04-07 05:21:17.508,2025-04-07 05:21:17.508,0
Malabe,29.3,91,51.7,2025-04-07 05:26:18.802,2025-04-07 05:26:18.802,2025-04-07 05:26:18.802,0
Malabe,29.3,91,51.6,2025-04-07 05:31:20.158,2025-04-07 05:31:20.159,2025-04-07 05:31:20.159,0
Malabe,29.3,91,51.7,2025-04-07 05:36:21.536,2025-04-07 05:36:21.536,2025-04-07 05:36:21.536,0
Malabe,29.3,91,51.7,2025-04-07 05:41:22.927,2025-04-07 05:41:22.927,2025-04-07 05:41:22.927,0
Malabe,29.3,91,51.7,2025-04-07 05:46:24.486,2025-04-07 05:46:24.486,2025-04-07 05:46:24.486,0
Malabe,29.3,91,51.7,2025-04-07 05:51:25.816,2025-04-07 05:51:25.816,2025-04-07 05:51:25.816,0
Malabe,29.3,91,51.7,2025-04-07 05:56:27.110,2025-04-07 05:56:27.110,2025-04-07 05:56:27.110,0
Malabe,29.3,91,51.6,2025-04-07 06:01:28.559,2025-04-07 06:01:28.559,2025-04-07 06:01:28.559,0
Malabe,29.3,91,51.7,2025-04-07 06:06:29.826,2025-04-07 06:06:29.827,2025-04-07 06:06:29.827,0
Malabe,29.3,91,51.6,2025-04-07 06:11:31.078,2025-04-07 06:11:31.078,2025-04-07 06:11:31.078,0
Malabe,29.3,91,51.6,2025-04-07 06:16:32.338,2025-04-07 06:16:32.338,2025-04-07 06:16:32.338,0
Malabe,29.3,91,51.6,2025-04-07 06:21:33.603,2025-04-07 06:21:33.603,2025-04-07 06:21:33.603,0
Malabe,29.3,92,51.6,2025-04-07 06:26:34.885,2025-04-07 06:26:34.885,2025-04-07 06:26:34.885,0
Malabe,29.3,92,51.6,2025-04-07 06:31:36.250,2025-04-07 06:31:36.250,2025-04-07 06:31:36.250,0
Malabe,29.3,92,51.6,2025-04-07 06:36:37.514,2025-04-07 06:36:37.514,2025-04-07 06:36:37.514,0
Malabe,29.3,92,51.6,2025-04-07 06:41:38.797,2025-04-07 06:41:38.797,2025-04-07 06:41:38.797,0
Malabe,29.3,92,51.6,2025-04-07 06:46:40.233,2025-04-07 06:46:40.233,2025-04-07 06:46:40.233,0
Malabe,29.3,92,51.7,2025-04-07 06:51:41.490,2025-04-07 06:51:41.490,2025-04-07 06:51:41.490,0
Malabe,29.3,92,51.7,2025-04-07 06:56:42.784,2025-04-07 06:56:42.784,2025-04-07 06:56:42.784,0
Malabe,29.3,92,51.7,2025-04-07 07:01:44.018,2025-04-07 07:01:44.018,2025-04-07 07:01:44.018,0
Malabe,29.3,92,51.7,2025-04-07 07:06:45.423,2025-04-07 07:06:45.423,2025-04-07 07:06:45.423,0
Malabe,29.3,91,51.6,2025-04-07 07:11:46.767,2025-04-07 07:11:46.768,2025-04-07 07:11:46.768,0
Malabe,29.3,91,51.6,2025-04-07 07:16:48.113,2025-04-07 07:16:48.114,2025-04-07 07:16:48.114,0
Malabe,29.3,91,51.6,2025-04-07 07:21:49.374,2025-04-07 07:21:49.374,2025-04-07 07:21:49.374,0
Malabe,29.3,92,51.7,2025-04-07 07:26:50.679,2025-04-07 07:26:50.679,2025-04-07 07:26:50.679,0
Malabe,29.3,92,51.7,2025-04-07 07:31:52.004,2025-04-07 07:31:52.004,2025-04-07 07:31:52.004,0
Malabe,29.3,92,51.6,2025-04-07 07:36:53.412,2025-04-07 07:36:53.413,2025-04-07 07:36:53.413,0
Malabe,29.3,92,51.7,2025-04-07 07:41:57.542,2025-04-07 07:41:57.543,2025-04-07 07:41:57.543,0
Malabe,29.3,92,51.7,2025-04-07 07:47:00.003,2025-04-07 07:47:00.004,2025-04-07 07:47:00.004,0
Malabe,29.3,92,51.6,2025-04-07 07:52:01.366,2025-04-07 07:52:01.367,2025-04-07 07:52:01.367,0
Malabe,29.3,92,51.7,2025-04-07 07:57:02.659,2025-04-07 07:57:02.659,2025-04-07 07:57:02.659,0
